,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS
0,1631260,AJ Green,AJ,1610612749,MIL,25.0,3,1,2,0.333,9.4,1.3,2.7,0.5,1.3,2.7,0.5,0.7,0.7,1.0,0.0,0.3,0.3,1.0,0.3,0.3,0.0,0.0,0.3,0.3,4.7,-1.7,7.2,0,0,8.0,1,126,10,212,294,262,286,113,118,171,49,220,245,1,266,336,354,224,276,225,214,210,320,294,247,228,296,48,4,279
1,1642358,AJ Johnson,AJ,1610612749,MIL,19.0,3,1,2,0.333,2.1,0.3,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.7,2.0,1.1,0,0,1.0,1,126,10,212,374,338,325,268,261,324,261,268,276,268,266,336,354,323,301,266,214,146,333,316,348,124,368,48,4,364
2,203932,Aaron Gordon,Aaron,1610612743,DEN,29.0,2,0,2,0.0,34.2,4.0,11.0,0.364,0.5,2.5,0.2,2.5,3.0,0.833,3.5,3.5,7.0,2.0,1.0,1.0,0.0,1.0,1.5,3.0,11.0,-1.0,24.4,0,0,22.5,220,302,10,302,34,113,90,251,205,187,218,94,95,110,10,108,44,138,147,80,214,44,209,66,121,211,121,48,4,128
3,1628988,Aaron Holiday,Aaron,1610612745,HOU,28.0,1,1,0,1.0,2.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.5,0,0,1.0,331,126,322,1,371,343,325,343,261,253,261,268,276,268,266,344,360,224,301,266,214,210,333,316,351,124,361,48,4,364
4,1630174,Aaron Nesmith,Aaron,1610612754,IND,25.0,3,1,2,0.333,21.6,2.0,4.3,0.462,0.7,1.3,0.5,2.3,2.3,1.0,1.0,2.7,3.7,0.3,1.0,1.0,0.3,0.7,4.0,1.7,7.0,-5.3,14.9,0,0,14.3,1,126,10,212,179,217,240,169,183,240,49,98,122,1,124,150,152,306,147,80,148,89,8,151,193,302,221,48,4,218
5,1630598,Aaron Wiggins,Aaron,1610612760,OKC,25.0,3,3,0,1.0,17.8,4.7,6.7,0.7,0.7,2.0,0.333,0.7,0.7,1.0,0.7,2.7,3.3,1.0,1.3,0.7,0.7,0.0,2.3,0.7,10.7,6.0,18.8,0,0,18.3,1,1,322,1,219,97,170,38,183,201,145,220,245,1,175,150,170,224,124,145,84,210,121,247,128,71,173,48,4,169
6,1641745,Adam Flagler,Adam,1610612760,OKC,24.0,3,3,0,1.0,2.1,0.7,0.7,1.0,0.7,0.7,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,2.0,1.0,3.4,0,0,3.7,1,1,322,1,375,305,358,1,183,293,1,268,276,268,266,336,354,323,301,225,214,210,320,316,302,154,335,48,4,330
7,1641737,Adem Bona,Adem,1610612755,PHI,21.0,2,0,2,0.0,1.7,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.5,1.6,0,0,1.5,220,302,10,302,382,316,361,1,261,324,261,268,276,268,213,344,342,323,301,266,214,210,248,316,334,146,359,48,4,361
8,1642349,Ajay Mitchell,Ajay,1610612760,OKC,22.0,3,3,0,1.0,12.3,0.7,3.0,0.222,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.7,1.7,2.3,0.7,0.7,0.3,0.0,1.0,0.3,1.3,3.7,9.2,0,0,7.3,1,1,322,1,277,305,269,324,261,313,261,268,276,268,266,223,263,124,210,145,148,210,248,294,331,102,280,48,4,290
9,201143,Al Horford,Al,1610612738,BOS,38.0,3,3,0,1.0,26.1,3.3,6.3,0.526,2.7,4.7,0.571,0.0,0.0,0.0,1.0,3.3,4.3,2.3,0.7,1.3,0.3,0.0,0.7,0.7,9.3,19.0,22.4,0,0,22.0,1,1,322,1,134,150,183,103,38,90,33,268,276,268,124,120,133,124,210,54,148,210,291,247,152,4,138,48,4,131
10,202692,Alec Burks,Alec,1610612748,MIA,33.0,1,1,0,1.0,24.9,3.0,4.0,0.75,3.0,4.0,0.75,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,7.0,14.4,0,0,16.0,331,126,322,1,146,159,243,29,28,116,19,268,276,268,266,188,231,323,301,266,37,210,333,316,156,53,225,48,4,196
11,1627936,Alex Caruso,Alex,1610612760,OKC,30.0,3,3,0,1.0,20.7,0.7,3.3,0.2,0.3,2.0,0.167,0.0,0.3,0.0,1.0,2.3,3.3,2.3,1.0,1.7,1.3,0.0,2.0,1.7,1.7,12.7,17.2,0,0,13.7,1,1,322,1,191,305,264,330,226,201,235,268,270,268,124,176,170,124,147,26,30,210,143,151,319,16,195,48,4,225
12,1642505,Alex Ducas,Alex,1610612760,OKC,23.0,3,3,0,1.0,2.1,0.0,1.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,1,1,322,1,375,343,325,343,261,293,261,268,276,268,266,344,360,323,301,266,214,210,333,316,351,154,376,48,4,378
13,203458,Alex Len,Alex,1610612758,SAC,31.0,2,0,2,0.0,7.5,0.5,1.5,0.333,0.0,0.5,0.0,0.5,1.0,0.5,0.0,2.0,2.0,0.5,1.5,0.0,1.0,0.5,1.0,0.5,1.5,-4.5,6.2,0,0,6.0,220,302,10,302,305,316,318,268,261,301,261,246,214,231,266,188,231,290,116,266,37,117,248,272,323,292,304,48,4,302
14,1642024,Alex Reese,Alex,1610612760,OKC,25.0,1,1,0,1.0,1.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.2,0,0,3.0,331,126,322,1,381,277,325,1,261,324,261,268,276,268,124,344,288,323,301,266,214,210,333,316,302,111,337,48,4,334
15,1642259,Alexandre Sarr,Alexandre,1610612764,WAS,19.0,2,0,2,0.0,23.4,2.5,8.5,0.294,1.0,5.5,0.182,1.0,1.0,1.0,1.5,4.0,5.5,1.0,0.0,0.5,2.0,0.0,2.5,1.0,7.0,-21.0,22.6,0,0,19.5,220,302,10,302,163,197,130,301,136,67,234,178,214,1,86,86,90,224,301,194,11,210,110,199,193,392,134,48,4,158
16,1630578,Alperen Sengun,Alperen,1610612745,HOU,22.0,3,1,2,0.333,29.2,5.7,14.3,0.395,1.0,2.3,0.429,3.3,4.7,0.714,4.0,8.7,12.7,3.0,2.3,2.3,0.3,2.3,3.3,5.3,15.7,7.0,41.0,2,0,37.7,1,126,10,212,98,72,49,235,136,192,101,57,53,172,4,9,4,86,55,7,148,5,41,20,76,53,25,5,4,35
17,1641708,Amen Thompson,Amen,1610612745,HOU,21.0,3,1,2,0.333,21.9,2.3,6.0,0.389,0.3,1.7,0.2,2.7,3.7,0.727,2.0,2.7,4.7,1.7,3.0,0.0,0.3,0.0,2.7,2.3,7.7,-5.3,13.8,0,0,15.0,1,126,10,212,176,202,187,236,226,226,218,85,79,169,42,150,116,175,28,266,148,210,82,104,187,302,232,48,4,208
18,1629599,Amir Coffey,Amir,1610612746,LAC,27.0,3,2,1,0.667,23.1,2.3,4.7,0.5,1.0,2.0,0.5,0.7,1.3,0.5,0.7,2.0,2.7,1.3,0.0,0.7,0.0,0.7,1.3,1.0,6.3,3.3,13.5,0,0,12.7,1,43,145,73,165,202,234,113,136,201,49,220,192,231,175,188,205,198,301,145,214,89,224,199,211,107,234,48,4,234
19,203083,Andre Drummond,Andre,1610612755,PHI,31.0,3,1,2,0.333,28.2,4.0,8.3,0.48,0.0,0.7,0.0,2.0,3.7,0.545,5.3,7.7,13.0,0.3,2.3,2.0,1.0,1.0,5.0,2.7,10.0,-7.0,32.8,1,0,29.3,1,126,10,212,106,113,131,150,261,293,261,108,79,230,1,15,2,306,55,10,37,44,1,90,137,332,65,15,4,78
20,1641748,Andre Jackson Jr.,Andre,1610612749,MIL,22.0,2,1,1,0.5,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,2.0,3.8,0,0,2.5,220,126,145,151,370,343,372,343,261,324,261,268,276,268,266,344,360,290,301,80,214,210,304,316,351,124,328,48,4,347
21,1629614,Andrew Nembhard,Andrew,1610612754,IND,24.0,3,1,2,0.333,29.2,2.3,7.3,0.318,0.3,2.7,0.125,1.7,2.0,0.833,0.0,2.0,2.0,5.7,2.0,1.0,0.0,0.0,3.0,2.3,6.7,-2.7,18.6,0,0,16.7,1,126,10,212,97,202,151,287,226,171,244,138,135,110,266,188,231,22,72,80,214,210,54,104,207,250,179,48,4,188
22,203952,Andrew Wiggins,Andrew,1610612744,GSW,29.0,3,2,1,0.667,25.2,7.3,13.3,0.55,3.7,6.3,0.579,1.3,1.7,0.8,2.3,4.3,6.7,2.3,1.0,0.3,1.0,0.3,2.7,2.3,19.7,7.7,34.2,1,0,35.0,1,43,145,73,143,38,62,86,13,45,32,158,180,129,34,76,54,124,147,225,37,146,82,104,45,47,54,15,4,42
23,1629014,Anfernee Simons,Anfernee,1610612757,POR,25.0,3,1,2,0.333,33.9,6.3,16.3,0.388,3.0,8.7,0.346,6.3,6.7,0.95,0.0,1.7,1.7,5.3,3.7,1.3,0.0,1.7,1.7,3.0,22.0,4.3,32.3,0,0,34.7,1,126,10,212,40,56,30,239,28,16,144,15,21,77,266,223,263,29,16,54,214,18,192,66,34,94,67,48,4,46
24,1641710,Anthony Black,Anthony,1610612753,ORL,20.0,3,2,1,0.667,24.8,4.0,7.7,0.522,0.7,1.3,0.5,1.3,2.3,0.571,1.3,2.0,3.3,4.0,1.3,0.0,1.0,0.7,2.7,1.7,10.0,8.0,21.7,0,0,20.0,1,43,145,73,147,113,145,106,183,240,49,158,122,224,99,188,170,54,124,266,37,89,82,151,137,42,146,48,4,149
25,203076,Anthony Davis,Anthony,1610612747,LAL,31.0,3,3,0,1.0,37.6,10.7,18.7,0.571,0.7,1.7,0.4,12.0,15.0,0.8,2.3,8.7,11.0,3.3,1.3,1.7,2.3,0.3,1.3,8.7,34.0,-5.7,62.9,1,0,57.0,1,1,322,1,11,3,17,68,183,226,116,1,1,129,34,9,11,78,124,26,6,146,224,2,1,313,1,15,4,3
26,1630162,Anthony Edwards,Anthony,1610612750,MIN,23.0,3,2,1,0.667,39.8,9.7,23.3,0.414,5.0,13.3,0.375,3.3,4.3,0.769,0.3,6.0,6.3,3.7,3.7,0.7,0.3,0.7,3.3,3.0,27.7,4.3,40.1,0,0,44.7,1,43,145,73,5,10,3,212,3,1,128,57,62,145,237,39,63,62,16,145,148,89,41,66,12,94,28,48,4,16
27,1630264,Anthony Gill,Anthony,1610612764,WAS,32.0,1,0,1,0.0,3.2,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,5.5,0,0,5.0,331,302,145,302,353,277,298,113,261,324,261,268,276,268,266,344,360,224,147,80,214,44,333,316,302,99,309,48,4,307
28,1641810,Antonio Reeves,Antonio,1610612740,NOP,21.0,2,1,1,0.5,2.4,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.1,0,0,0.5,220,126,145,151,366,343,269,343,261,201,261,268,276,268,266,325,342,323,247,266,214,210,333,316,351,211,375,48,4,376
