,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,1610612737,Atlanta Hawks,3,2,1,0.667,48.0,38.0,84.0,0.452,11.0,32.3,0.34,29.3,37.7,0.779,12.0,32.3,44.3,24.7,16.7,10.0,7.3,7.3,23.7,27.7,116.3,-5.0,1,3,3,3,3,10,10,8,11,12,11,1,1,6,5,6,6,8,9,2,4,13,10,1,3,8
1,1610612738,Boston Celtics,3,3,0,1.0,48.0,42.7,91.7,0.465,22.7,51.3,0.442,18.0,21.7,0.831,12.0,30.0,42.0,24.3,9.3,7.7,4.0,5.3,16.7,17.7,126.0,16.3,1,1,1,1,3,3,2,5,1,1,1,12,15,1,5,12,10,10,1,8,11,4,2,14,2,2
2,1610612751,Brooklyn Nets,3,1,2,0.333,48.0,38.0,88.3,0.43,15.7,41.7,0.376,19.0,23.0,0.826,10.7,31.7,42.3,22.0,16.7,8.0,4.0,6.3,29.7,18.7,110.7,-2.0,1,5,7,7,3,10,6,11,4,5,5,11,12,2,9,7,9,12,9,6,11,8,15,12,10,5
3,1610612766,Charlotte Hornets,3,1,2,0.333,48.0,38.0,90.0,0.422,16.3,43.7,0.374,19.7,25.3,0.776,17.3,34.3,51.7,20.7,18.3,6.3,6.3,6.3,24.3,21.7,112.0,-2.7,1,5,7,7,3,10,5,13,3,3,6,7,9,8,1,3,1,13,13,12,7,8,11,9,8,6
4,1610612741,Chicago Bulls,3,1,2,0.333,48.0,40.0,91.3,0.438,15.3,44.7,0.343,17.7,23.3,0.757,9.7,41.7,51.3,26.3,19.0,6.7,2.7,6.0,17.3,16.3,113.0,-6.7,1,5,7,7,3,6,3,10,5,2,10,14,11,9,10,1,2,4,14,10,15,6,3,15,7,11
5,1610612739,Cleveland Cavaliers,3,3,0,1.0,48.0,46.7,85.7,0.545,15.0,34.3,0.437,19.7,27.7,0.711,8.0,33.0,41.0,28.0,14.3,12.0,7.7,6.7,21.3,23.7,128.0,20.3,1,1,1,1,3,1,8,1,6,9,2,7,6,14,12,5,13,3,4,1,1,12,7,4,1,1
6,1610612765,Detroit Pistons,3,0,3,0.0,48.0,39.7,85.7,0.463,12.0,34.7,0.346,18.0,22.3,0.806,9.7,31.7,41.3,24.7,17.0,4.3,4.7,6.0,21.7,18.0,109.3,-8.0,1,14,15,14,3,7,8,6,9,8,9,12,14,3,10,7,12,8,11,14,10,6,8,13,11,13
7,1610612754,Indiana Pacers,3,1,2,0.333,49.7,40.7,83.3,0.488,8.3,31.0,0.269,19.3,26.3,0.734,7.7,28.7,36.3,29.3,17.0,8.7,6.0,3.3,24.3,21.7,109.0,-7.7,1,5,7,7,1,4,13,4,15,13,15,10,8,13,14,14,15,1,11,5,8,2,11,9,12,12
8,1610612748,Miami Heat,2,1,1,0.5,48.0,36.0,84.0,0.429,12.5,34.0,0.368,21.0,28.5,0.737,11.0,31.0,42.0,28.5,12.5,6.5,7.0,6.5,19.0,22.5,105.5,-5.5,13,5,3,5,3,15,10,12,8,10,7,5,5,12,8,10,10,2,3,11,5,10,5,8,15,9
9,1610612749,Milwaukee Bucks,3,1,2,0.333,48.0,40.7,82.3,0.494,13.0,36.7,0.355,21.7,29.0,0.747,7.7,37.7,45.3,23.7,15.7,5.3,5.0,3.0,18.0,23.7,116.0,-3.0,1,5,7,7,3,4,14,3,7,7,8,4,4,10,14,2,5,11,8,13,9,1,4,4,4,7
