CONFERENCE,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,FGA,FG_PCT,FG3A,FG3_PCT,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PFD,PLUS_MINUS
East,1610612749,Milwaukee Bucks,1631260,AJ Green,MIL,25,3,9.4,4.7,2.7,0.5,2.7,0.5,0.7,1,0,0.3,0.3,1,0.3,0.3,0,0.3,0.3,-1.7
East,1610612749,Milwaukee Bucks,1642358,AJ Johnson,MIL,19,3,2.1,0.7,1,0.333,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,2
East,1610612749,Milwaukee Bucks,1641748,Andre Jackson Jr.,MIL,22,2,2.3,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0.5,0,2
East,1610612749,Milwaukee Bucks,1626171,Bobby Portis,MIL,29,3,26.8,13.7,11,0.545,2.7,0.375,0.7,1,1.7,6.7,8.3,2,1.7,1,0.7,1.3,0.7,-6
East,1610612749,Milwaukee Bucks,201572,Brook Lopez,MIL,36,3,31.3,10.7,10,0.367,5.7,0.294,2,0.833,0.3,5,5.3,2.3,2.3,0.7,3,2.7,2,2.3
East,1610612749,Milwaukee Bucks,203081,Damian Lillard,MIL,34,3,35.4,26.3,17.7,0.472,10.3,0.323,7,0.905,1.3,4.3,5.7,6,4,0,0,1.3,5,1
East,1610612749,Milwaukee Bucks,1626153,Delon Wright,MIL,32,3,13.2,2.3,2.7,0.375,1.3,0.25,0,0,0,0.7,0.7,1,0.3,0.7,0.3,0.7,0.7,-5.7
East,1610612749,Milwaukee Bucks,1629018,Gary Trent Jr.,MIL,25,3,32.1,10,7.3,0.364,5.3,0.375,3,0.889,0,1,1,1.3,0.7,0.7,0,3.7,2,1
East,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,MIL,29,3,33.2,28.3,15,0.667,0.3,0,14.3,0.581,1,11.3,12.3,6.3,3.3,0.3,0.7,2.7,11,-5.3
East,1610612749,Milwaukee Bucks,1630699,MarJon Beauchamp,MIL,24,3,2,1.3,1.3,0.25,0.7,0,0.7,1,0,0,0,0,1,0.3,0,0.7,0.3,2
East,1610612749,Milwaukee Bucks,1626192,Pat Connaughton,MIL,31,3,18.2,5,6.3,0.316,4.3,0.231,0,0,1.3,2.7,4,1.3,1,0,0.3,1.3,1,-4.3
East,1610612749,Milwaukee Bucks,1631157,Ryan Rollins,MIL,22,2,1.5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0.5,1
East,1610612749,Milwaukee Bucks,1627752,Taurean Prince,MIL,30,3,31.3,10,6,0.667,2.7,0.75,0,0,1.7,5,6.7,2,0.7,0.7,0,2.3,0,-4
East,1610612749,Milwaukee Bucks,1641890,Tyler Smith,MIL,19,3,2.5,2.3,1.3,0.75,0.7,0.5,0,0,0.3,0.3,0.7,0,0,0,0,0.3,0.3,1.7
East,1610612754,Indiana Pacers,1630174,Aaron Nesmith,IND,25,3,21.6,7,4.3,0.462,1.3,0.5,2.3,1,1,2.7,3.7,0.3,1,1,0.3,4,1.7,-5.3
East,1610612754,Indiana Pacers,1629614,Andrew Nembhard,IND,24,3,29.2,6.7,7.3,0.318,2.7,0.125,2,0.833,0,2,2,5.7,2,1,0,3,2.3,-2.7
East,1610612754,Indiana Pacers,1641767,Ben Sheppard,IND,23,3,11,3.3,2.3,0.571,1,0.667,0,0,0,1.3,1.3,0.7,0,0,0.3,2.7,0.3,0.7
East,1610612754,Indiana Pacers,1631097,Bennedict Mathurin,IND,22,3,24.1,14.7,9,0.556,4,0.333,5,0.667,0.7,2.7,3.3,1.3,1.7,0.3,0,2,2.3,-5.3
East,1610612754,Indiana Pacers,1642402,Enrique Freeman,IND,24,2,8.1,2,0.5,1,0,0,1,1,0.5,0,0.5,0,0.5,0,0.5,1,0.5,-1
East,1610612754,Indiana Pacers,1630543,Isaiah Jackson,IND,22,2,10.5,6,3.5,0.857,0,0,1,0,1,2,3,1,1.5,0.5,0.5,2,0.5,-5.5
East,1610612754,Indiana Pacers,201949,James Johnson,IND,37,1,3.8,2,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4
East,1610612754,Indiana Pacers,1630164,James Wiseman,IND,23,1,4.6,6,4,0.5,1,0,2,1,0,1,1,0,0,0,0,0,1,-4
East,1610612754,Indiana Pacers,1641716,Jarace Walker,IND,21,3,10,6,3.7,0.545,2,0.333,1.3,1,0.7,1.3,2,1.3,0.3,0.7,0,1.3,1.3,-0.3
East,1610612754,Indiana Pacers,1642277,Johnny Furphy,IND,19,1,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
East,1610612754,Indiana Pacers,1626167,Myles Turner,IND,28,3,32.2,15.7,11.3,0.471,5.3,0.313,5.3,0.625,0.3,6.3,6.7,2.3,4,1.3,2.7,4.3,4,-1.7
East,1610612754,Indiana Pacers,1630167,Obi Toppin,IND,26,3,19.6,8.3,5.3,0.563,1.7,0.2,2.3,0.857,0.7,1.3,2,2.3,0.7,1,0.3,1.3,2.3,-9.7
East,1610612754,Indiana Pacers,1627783,Pascal Siakam,IND,30,3,31.8,16,12.3,0.541,3.7,0.273,2.3,0.714,1.7,4.3,6,5.7,1,0.7,0.3,1,3,2
East,1610612754,Indiana Pacers,1631245,Quenton Jackson,IND,26,1,4.4,2,1,0,1,0,2,1,1,0,1,2,0,1,0,1,2,3
East,1610612754,Indiana Pacers,204456,T.J. McConnell,IND,32,3,17.8,10.3,7.3,0.682,0,0,0.7,0.5,0.7,2.3,3,4.3,1.7,0.7,0,0.3,1,-8.7
East,1610612754,Indiana Pacers,1630169,Tyrese Haliburton,IND,24,3,32.7,12.3,14.7,0.318,8.3,0.2,2.3,0.571,0.7,2.7,3.3,3.7,2.3,1.3,1,2,1.7,-5.7
East,1610612755,Philadelphia 76ers,1641737,Adem Bona,PHI,21,2,1.7,1,0.5,1,0,0,0,0,0.5,0,0.5,0,0,0,0,1,0,1.5
East,1610612755,Philadelphia 76ers,203083,Andre Drummond,PHI,31,3,28.2,10,8.3,0.48,0.7,0,3.7,0.545,5.3,7.7,13,0.3,2.3,2,1,5,2.7,-7
East,1610612755,Philadelphia 76ers,1628997,Caleb Martin,PHI,29,3,36,13.3,10.7,0.406,2.3,0.143,6,0.722,4,4.7,8.7,2.7,3.7,0.3,0.7,4,5,-7.7
East,1610612755,Philadelphia 76ers,201569,Eric Gordon,PHI,35,3,24.9,8.3,6.7,0.35,3.7,0.273,3.7,0.727,0,1,1,1.3,0.3,0,0.3,1,2.7,9.3
East,1610612755,Philadelphia 76ers,1627824,Guerschon Yabusele,PHI,28,3,20.1,6.3,6,0.389,2.7,0.125,2,0.667,2.3,2.3,4.7,2.7,2.3,1.3,0.3,4,2.7,-1.3
East,1610612755,Philadelphia 76ers,1642272,Jared McCain,PHI,20,3,8.4,2.7,2.7,0.5,1,0,0,0,0.7,1,1.7,0.7,0.3,0,0,0.3,0.3,-6.7
East,1610612755,Philadelphia 76ers,1630288,Jeff Dowtin Jr.,PHI,27,1,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
East,1610612755,Philadelphia 76ers,1630231,KJ Martin,PHI,23,3,20.3,4.3,2.3,0.714,0.3,1,1.3,0.5,1.3,2.3,3.7,1.3,0,0.7,0.3,3.7,0.7,-2.3
East,1610612755,Philadelphia 76ers,1626162,Kelly Oubre Jr.,PHI,28,3,35.8,21,17.7,0.434,5.3,0.25,5.7,0.765,1.3,2.7,4,1,2.3,1.3,0,4,4.3,-7.3
East,1610612755,Philadelphia 76ers,200768,Kyle Lowry,PHI,38,3,23.5,11,5.3,0.563,4.3,0.615,3,0.778,0,2,2,3.3,0.7,1.3,0,2.7,3,-8
East,1610612755,Philadelphia 76ers,1631311,Lester Quinones,PHI,23,1,2.7,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,3
East,1610612755,Philadelphia 76ers,202704,Reggie Jackson,PHI,34,1,3.4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-3
East,1610612755,Philadelphia 76ers,1641741,Ricky Council IV,PHI,23,2,6.6,3.5,2,0.25,1,0.5,2,1,0,0.5,0.5,0,0.5,0,0,0.5,1,0
