TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,W_PCT,PTS,FGA,FG_PCT,FG3A,FG3_PCT,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PFD,PLUS_MINUS,CONFERENCE
1610612743,DEN,Denver Nuggets,2,0,2,0,95.5,92.5,0.378,36.5,0.288,19,0.789,13.5,33.5,47,24.5,13,12,5.5,17,19.5,-10,West
1610612745,HOU,Houston Rockets,3,1,2,0.333,113,97.7,0.406,42.3,0.339,25.7,0.753,15.7,31.3,47,20,12.7,9.3,3.7,24.7,21.3,4,West
1610612760,OKC,Oklahoma City Thunder,3,3,0,1,114.7,99,0.444,38.7,0.276,21.3,0.75,11,38.3,49.3,23.3,10.7,12.3,10,18.7,18,19.3,West
1610612758,SAC,Sacramento Kings,2,0,2,0,121,85,0.488,36.5,0.356,30,0.833,4.5,30.5,35,26.5,11.5,9.5,3.5,18.5,21.5,-3,West
1610612746,LAC,LA Clippers,3,2,1,0.667,111.3,88,0.47,31.3,0.319,24.7,0.757,12.7,35,47.7,28,19,8,2.7,24.7,22.3,3.3,West
1610612744,GSW,Golden State Warriors,3,2,1,0.667,123.7,95.7,0.477,47,0.383,19.3,0.741,16,38.7,54.7,30.7,18,12.7,5.3,24.7,18,23,West
1610612757,POR,Portland Trail Blazers,3,1,2,0.333,110.7,91.7,0.422,35.3,0.33,27.3,0.793,15,32,47,24,18,8.7,7.7,21.7,23.7,-5.3,West
1610612747,LAL,Los Angeles Lakers,3,3,0,1,121.3,87.3,0.496,30.3,0.363,29.3,0.807,11.3,31.3,42.7,29,13,8.3,5.3,19.7,22.3,6,West
1610612750,MIN,Minnesota Timberwolves,3,2,1,0.667,110.7,84.7,0.453,42.7,0.367,23.3,0.786,9,34.3,43.3,23.3,15.3,5.3,3.7,20.7,20.7,2,West
1610612740,NOP,New Orleans Pelicans,3,2,1,0.667,110.3,90.3,0.439,32.7,0.347,25.3,0.776,11,30.7,41.7,26,14.3,12,8.7,20.3,19.7,-2.7,West
1610612759,SAS,San Antonio Spurs,2,1,1,0.5,109,82.5,0.473,28,0.357,26,0.808,11,39.5,50.5,26.5,18,6,6,18,22.5,-4,West
1610612756,PHX,Phoenix Suns,3,2,1,0.667,115.3,80,0.483,38,0.404,29.3,0.773,5.3,35.7,41,28.7,16.7,7.7,5.7,22,25,2.7,West
1610612763,MEM,Memphis Grizzlies,3,2,1,0.667,119.3,89.3,0.474,35.7,0.374,30.7,0.696,11,31,42,30,16.7,8.3,6,28,25.3,-1.7,West
1610612762,UTA,Utah Jazz,2,0,2,0,105,88.5,0.39,34,0.279,35.5,0.746,14,33,47,19.5,19.5,7.5,7,17.5,30,-21.5,West
1610612742,DAL,Dallas Mavericks,2,1,1,0.5,111,97.5,0.405,42.5,0.376,20.5,0.78,14.5,33.5,48,24.5,9.5,7.5,3.5,24.5,17.5,-0.5,West
