TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,W_PCT,PTS,FGA,FG_PCT,FG3A,FG3_PCT,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PFD,PLUS_MINUS,CONFERENCE
1610612749,MIL,Milwaukee Bucks,3,1,2,0.333,116,82.3,0.494,36.7,0.355,29,0.747,7.7,37.7,45.3,23.7,15.7,5.3,5,18,23.7,-3,East
1610612754,IND,Indiana Pacers,3,1,2,0.333,109,83.3,0.488,31,0.269,26.3,0.734,7.7,28.7,36.3,29.3,17,8.7,6,24.3,21.7,-7.7,East
1610612755,PHI,Philadelphia 76ers,3,1,2,0.333,111.3,90.7,0.412,34,0.275,37,0.739,15.7,28,43.7,17.3,15.3,8,3.7,28.7,27.7,-6.3,East
1610612738,BOS,Boston Celtics,3,3,0,1,126,91.7,0.465,51.3,0.442,21.7,0.831,12,30,42,24.3,9.3,7.7,4,16.7,17.7,16.3,East
1610612748,MIA,Miami Heat,2,1,1,0.5,105.5,84,0.429,34,0.368,28.5,0.737,11,31,42,28.5,12.5,6.5,7,19,22.5,-5.5,East
1610612764,WAS,Washington Wizards,2,0,2,0,109,95.5,0.408,39.5,0.278,25,0.8,14,29,43,26,15,7.5,7.5,22,23,-19.5,East
1610612753,ORL,Orlando Magic,3,2,1,0.667,114.3,86,0.453,42.3,0.394,27.7,0.711,11.7,34,45.7,25.7,15.3,9.3,7,20,24.7,7,East
1610612752,NYK,New York Knicks,2,1,1,0.5,116,81,0.537,28.5,0.404,22.5,0.778,8,30.5,38.5,19.5,12,3.5,3.5,15,19.5,1,East
1610612741,CHI,Chicago Bulls,3,1,2,0.333,113,91.3,0.438,44.7,0.343,23.3,0.757,9.7,41.7,51.3,26.3,19,6.7,2.7,17.3,16.3,-6.7,East
1610612751,BKN,Brooklyn Nets,3,1,2,0.333,110.7,88.3,0.43,41.7,0.376,23,0.826,10.7,31.7,42.3,22,16.7,8,4,29.7,18.7,-2,East
1610612737,ATL,Atlanta Hawks,3,2,1,0.667,116.3,84,0.452,32.3,0.34,37.7,0.779,12,32.3,44.3,24.7,16.7,10,7.3,23.7,27.7,-5,East
1610612766,CHA,Charlotte Hornets,3,1,2,0.333,112,90,0.422,43.7,0.374,25.3,0.776,17.3,34.3,51.7,20.7,18.3,6.3,6.3,24.3,21.7,-2.7,East
1610612761,TOR,Toronto Raptors,3,1,2,0.333,107.3,84,0.444,27.7,0.337,29.3,0.795,14.7,31.3,46,26.3,22,9.3,7.7,26.7,23.3,-11,East
1610612765,DET,Detroit Pistons,3,0,3,0,109.3,85.7,0.463,34.7,0.346,22.3,0.806,9.7,31.7,41.3,24.7,17,4.3,4.7,21.7,18,-8,East
1610612739,CLE,Cleveland Cavaliers,3,3,0,1,128,85.7,0.545,34.3,0.437,27.7,0.711,8,33,41,28,14.3,12,7.7,21.3,23.7,20.3,East
